time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.095,0.00625765,-0.00625765,-0.123549,0.123894,0.349166,0.0793016,0.0570211,-0.117239,0.131356,0.349166,0.0196705,-0.00260996,-0.123335,0.124276,0.349443,0.00625765,-0.00625765,-0.123315,0.123659,0.349442,-1.48996,-5.26648e-07,0.34935,-2.94894e-07,0.000345385,5.30188e-07,1,1.59076e-05,-1.06253e-06,-7.18272e-06,2.15722e-05,0.000312047,2.68041e-07,-0.00888685,2.81018e-05,0.00073701
1.0975,0.00649966,-0.00649966,-0.123582,0.123958,0.349166,0.0823686,0.0592264,-0.117868,0.130883,0.349166,0.0204313,-0.0027109,-0.123511,0.124339,0.349443,0.00649966,-0.00649966,-0.123373,0.123747,0.349443,-1.48996,-5.2912e-07,0.349348,-2.69775e-07,0.000345655,5.3052e-07,1,1.11589e-05,-9.89432e-07,-5.52029e-06,2.00953e-05,0.000215947,2.72052e-07,-0.00868167,2.39502e-05,0.000661315
1.1,0.00674275,-0.00674275,-0.123611,0.124019,0.349166,0.0854492,0.0614415,-0.118446,0.130447,0.349166,0.0211954,-0.00281229,-0.123677,0.124407,0.349443,0.00674275,-0.00674275,-0.123428,0.123834,0.349443,-1.48996,-5.31431e-07,0.349347,-2.46275e-07,0.000345819,5.30856e-07,1,6.97764e-06,-9.25374e-07,-4.05565e-06,1.88005e-05,0.000131379,2.75712e-07,-0.00845787,2.07964e-05,0.000582353
1.1025,0.00698683,-0.00698683,-0.123638,0.124079,0.349166,0.0885424,0.0636656,-0.118979,0.130046,0.349166,0.0219627,-0.00291409,-0.123835,0.124476,0.349443,0.00698683,-0.00698683,-0.123481,0.123921,0.349443,-1.48996,-5.33599e-07,0.349345,-2.24217e-07,0.000345892,5.31197e-07,1,3.38509e-06,-8.68274e-07,-2.79161e-06,1.76458e-05,5.87642e-05,2.79042e-07,-0.00822378,1.84456e-05,0.000502274
1.105,0.00723183,-0.00723183,-0.123662,0.124136,0.349166,0.0916472,0.0658981,-0.119471,0.129677,0.349166,0.0227328,-0.00301627,-0.123984,0.124548,0.349443,0.00723183,-0.00723183,-0.123532,0.124006,0.349443,-1.48996,-5.35637e-07,0.349344,-2.03469e-07,0.00034589,5.31543e-07,1,3.84457e-07,-8.16505e-07,-1.72615e-06,1.65985e-05,-1.83948e-06,2.82065e-07,-0.00798691,1.67203e-05,0.000423004
1.1075,0.00747768,-0.00747768,-0.123685,0.124192,0.349166,0.0947628,0.0681384,-0.119924,0.129338,0.349166,0.0235057,-0.00311881,-0.124127,0.12462,0.349443,0.00747768,-0.00747768,-0.123582,0.124089,0.349443,-1.48996,-5.37556e-07,0.349342,-1.83927e-07,0.000345827,5.31892e-07,1,-2.03672e-06,-7.68834e-07,-8.53036e-07,1.56336e-05,-5.06929e-05,2.84803e-07,-0.00775383,1.54645e-05,0.000346231
1.11,0.00772431,-0.00772431,-0.123708,0.124247,0.349166,0.0978884,0.0703858,-0.120344,0.129026,0.349166,0.0242809,-0.00322168,-0.124263,0.124692,0.349443,0.00772431,-0.00772431,-0.12363,0.124168,0.349443,-1.48996,-5.39364e-07,0.349341,-1.6551e-07,0.000345716,5.32245e-07,1,-3.90417e-06,-7.24359e-07,-1.62423e-07,1.47332e-05,-8.83244e-05,2.87279e-07,-0.00753012,1.45469e-05,0.000273383
1.1125,0.00797168,-0.00797168,-0.123731,0.1243,0.349166,0.101023,0.0726398,-0.120732,0.128738,0.349166,0.0250585,-0.00332485,-0.124394,0.124763,0.349443,0.00797168,-0.00797168,-0.123677,0.124245,0.349442,-1.48996,-5.41066e-07,0.349339,-1.48155e-07,0.000345572,5.32601e-07,1,-5.25441e-06,-6.82451e-07,3.58444e-07,1.38845e-05,-0.00011548,2.89513e-07,-0.00732036,1.38604e-05,0.000205631
1.115,0.00821971,-0.00821971,-0.123756,0.124351,0.349166,0.104167,0.0749,-0.121093,0.128474,0.349166,0.0258382,-0.0034283,-0.124519,0.124833,0.349442,0.00821971,-0.00821971,-0.123723,0.124318,0.349442,-1.48996,-5.42669e-07,0.349337,-1.31805e-07,0.000345406,5.32959e-07,1,-6.13234e-06,-6.42693e-07,7.24598e-07,1.30792e-05,-0.000133074,2.91527e-07,-0.00712813,1.3321e-05,0.000143878
1.1175,0.00846837,-0.00846837,-0.123782,0.124401,0.349166,0.107318,0.0771659,-0.121427,0.128231,0.349166,0.0266199,-0.00353201,-0.124639,0.124902,0.349442,0.00846837,-0.00846837,-0.123769,0.124387,0.349442,-1.48996,-5.44177e-07,0.349336,-1.16415e-07,0.000345228,5.33321e-07,1,-6.58885e-06,-6.04828e-07,9.52697e-07,1.23122e-05,-0.000142143,2.93338e-07,-0.00695604,1.28658e-05,8.87753e-05
