time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0775,0.0214436,-0.0134098,-0.12141,0.124169,0.349167,0.0143022,-0.0156254,-0.123264,0.122242,0.349167,0.0164628,-0.0138306,-0.122824,0.122852,0.349443,0.0132508,-0.0201765,-0.123417,0.12219,0.349443,-1.48997,-5.99231e-07,0.349317,4.3572e-07,0.000345035,5.26738e-07,1,5.12549e-06,1.03797e-06,-1.81064e-05,-2.10002e-05,9.62403e-05,-3.09107e-08,-0.00695661,-4.7162e-05,0.000889386
1.08,0.0225229,-0.0140847,-0.121794,0.124395,0.349167,0.015022,-0.0164118,-0.123511,0.122513,0.349166,0.0172913,-0.0145267,-0.123116,0.123089,0.349443,0.0139178,-0.021192,-0.123642,0.122548,0.349443,-1.48997,-5.96928e-07,0.349313,4.12464e-07,0.000345143,5.26711e-07,1,4.61419e-06,9.19409e-07,-1.61669e-05,-1.86044e-05,8.58207e-05,-2.85123e-08,-0.00697676,-3.93279e-05,0.000773315
1.0825,0.0236108,-0.014765,-0.122158,0.124614,0.349166,0.0157476,-0.0172045,-0.123746,0.12277,0.349166,0.0181265,-0.0152284,-0.123394,0.123318,0.349443,0.01459,-0.0222157,-0.123859,0.122888,0.349443,-1.48997,-5.94874e-07,0.34931,3.91733e-07,0.000345236,5.26685e-07,1,4.07655e-06,8.19451e-07,-1.44882e-05,-1.65849e-05,7.48799e-05,-2.63551e-08,-0.00698905,-3.22933e-05,0.000668979
1.085,0.0247067,-0.0154503,-0.122502,0.124826,0.349166,0.0164786,-0.0180031,-0.123971,0.123016,0.349166,0.0189679,-0.0159352,-0.123659,0.123539,0.349443,0.0152672,-0.0232468,-0.12407,0.123213,0.349443,-1.48997,-5.93031e-07,0.349306,3.73116e-07,0.000345316,5.26661e-07,1,3.52985e-06,7.35725e-07,-1.30386e-05,-1.48936e-05,6.37664e-05,-2.44095e-08,-0.00699418,-2.61655e-05,0.000577352
1.0875,0.0258099,-0.0161403,-0.12283,0.125031,0.349166,0.0172144,-0.018807,-0.124186,0.123252,0.349166,0.0198149,-0.0166468,-0.123912,0.123752,0.349443,0.015949,-0.0242849,-0.124273,0.123523,0.349443,-1.48997,-5.91362e-07,0.349302,3.56264e-07,0.000345382,5.26638e-07,1,2.98932e-06,6.6581e-07,-1.17864e-05,-1.34813e-05,5.2788e-05,-2.26489e-08,-0.00699295,-2.09718e-05,0.000498406
1.09,0.0269201,-0.0168345,-0.123141,0.125231,0.349166,0.0179548,-0.0196159,-0.124392,0.123477,0.349166,0.0206672,-0.0173628,-0.124155,0.123959,0.349443,0.016635,-0.0253294,-0.12447,0.12382,0.349443,-1.48997,-5.8984e-07,0.349298,3.40888e-07,0.000345435,5.26617e-07,1,2.468e-06,6.07376e-07,-1.07016e-05,-1.23009e-05,4.22079e-05,-2.10494e-08,-0.00698626,-1.66813e-05,0.000431427
1.0925,0.0280365,-0.0175327,-0.123438,0.125426,0.349166,0.0186995,-0.0204295,-0.12459,0.123694,0.349166,0.0215243,-0.0180829,-0.124387,0.124158,0.349443,0.0173249,-0.0263799,-0.124662,0.124104,0.349443,-1.48997,-5.8844e-07,0.349294,3.26752e-07,0.000345475,5.26598e-07,1,1.97666e-06,5.5828e-07,-9.75724e-06,-1.13089e-05,3.22431e-05,-1.95901e-08,-0.00697501,-1.32237e-05,0.000375275
1.095,0.0291588,-0.0182345,-0.123721,0.125615,0.349166,0.019448,-0.0212473,-0.12478,0.123902,0.349166,0.0223859,-0.0188068,-0.12461,0.124351,0.349443,0.0180184,-0.0274359,-0.124848,0.124376,0.349443,-1.48997,-5.87145e-07,0.349291,3.13668e-07,0.000345504,5.2658e-07,1,1.52381e-06,5.16623e-07,-8.92959e-06,-1.0467e-05,2.30644e-05,-1.82531e-08,-0.00696015,-1.05046e-05,0.000328589
1.0975,0.0302865,-0.0189397,-0.123992,0.125799,0.349166,0.0202002,-0.022069,-0.124963,0.124102,0.349166,0.0232517,-0.0195341,-0.124825,0.124539,0.349443,0.0187153,-0.028497,-0.125029,0.124637,0.349443,-1.48997,-5.8594e-07,0.349287,3.0149e-07,0.000345522,5.26562e-07,1,1.11574e-06,4.80781e-07,-8.19861e-06,-9.74227e-06,1.47982e-05,-1.70234e-08,-0.00694258,-8.41773e-06,0.00028994
1.1,0.0314193,-0.0196481,-0.124251,0.12598,0.349166,0.0209557,-0.0228944,-0.125139,0.124295,0.349166,0.0241213,-0.0202647,-0.125031,0.124721,0.349443,0.0194152,-0.0295628,-0.125206,0.124888,0.349443,-1.48997,-5.84813e-07,0.349283,2.90106e-07,0.000345532,5.26547e-07,1,7.56647e-07,4.49404e-07,-7.54764e-06,-9.10754e-06,7.52874e-06,-1.58881e-08,-0.00692315,-6.85478e-06,0.000257944
1.1025,0.0325566,-0.0203593,-0.1245,0.126156,0.349166,0.0217142,-0.0237231,-0.12531,0.124481,0.349166,0.0249945,-0.0209983,-0.12523,0.124898,0.349443,0.020118,-0.0306329,-0.125378,0.12513,0.349443,-1.48997,-5.83756e-07,0.349279,2.7943e-07,0.000345533,5.26532e-07,1,4.48847e-07,4.21409e-07,-6.96324e-06,-8.54091e-06,1.30156e-06,-1.48368e-08,-0.00690265,-5.71187e-06,0.000231332
1.105,0.0336983,-0.0210732,-0.124739,0.126328,0.349166,0.0224757,-0.024555,-0.125475,0.12466,0.349166,0.025871,-0.0217346,-0.125422,0.12507,0.349443,0.0208235,-0.0317071,-0.125547,0.125362,0.349443,-1.48997,-5.82763e-07,0.349275,2.69398e-07,0.000345529,5.26518e-07,1,1.92934e-07,3.9595e-07,-6.43473e-06,-8.02535e-06,-3.87216e-06,-1.38608e-08,-0.00688178,-4.89415e-06,0.000208991
1.1075,0.0348438,-0.0217896,-0.124969,0.126497,0.349166,0.0232397,-0.0253898,-0.125635,0.124834,0.349166,0.0267505,-0.0224735,-0.125608,0.125237,0.349443,0.0215314,-0.032785,-0.125712,0.125586,0.349443,-1.48997,-5.81829e-07,0.349271,2.59963e-07,0.000345519,5.26505e-07,1,-1.19799e-08,3.72393e-07,-5.95377e-06,-7.54811e-06,-8.01125e-06,-1.29531e-08,-0.00686117,-4.31853e-06,0.000189986
1.11,0.0359931,-0.0225083,-0.125191,0.126662,0.349166,0.0240063,-0.0262272,-0.125791,0.125002,0.349166,0.0276328,-0.0232147,-0.125788,0.1254,0.349443,0.0222416,-0.0338664,-0.125874,0.125802,0.349443,-1.48997,-5.8095e-07,0.349267,2.51088e-07,0.000345505,5.26493e-07,1,-1.68036e-07,3.50281e-07,-5.51392e-06,-7.09998e-06,-1.11598e-05,-1.21076e-08,-0.00684134,-3.91482e-06,0.000173554
